videoid,videoname,channelid,channelname,views,comments,likes,dislikes,adtype,advertiser,adfullurl,datecollected,dateuploaded,uploadts,testid,dataset
4LmHhgr7TGk,,,,,,,,,,,1632286751,,,20210922045901,cur
KDKV-ZpB3t0,,,,,,,,,,,1632286767,,,20210922045901,cur
-w5zdF0VDeY,,,,,,,,,,,1632286770,,,20210922045901,cur
FmCO12_Kcts,,,,,,,,,,,1632286774,,,20210922045901,cur
D8gJIIsCy9c,,,,,,,,,,,1632286777,,,20210922045901,cur
0eRzeJeWtP8,,,,,,,,,,,1632286796,,,20210922045901,cur
42oas0oQll4,,,,,,,,,,,1632286799,,,20210922045901,cur
D_hp8t7kdpw,,,,,,,,,,,1632286803,,,20210922045901,cur
26ffo6WRu4E,,,,,,,,,,,1632286870,,,20210922045901,cur
3Q7qhpqXFUQ,,,,,,,,,,,1632286873,,,20210922045901,cur
29ATE2HJhec,,,,,,,,,,,1632286890,,,20210922045901,cur
20gEfxo6ZUU,,,,,,,,,,,1632286893,,,20210922045901,cur
0AqghgFq4Wc,,,,,,,,,,,1632286897,,,20210922045901,cur
vxBlC1DazoY,,,,,,,,,,,1632286951,,,20210922045901,cur
aVmdQTEl448,,,,,,,,,,,1632286982,,,20210922045901,cur
ipQLHEXIYQU,,,,,,,,,,,1632286986,,,20210922045901,cur
HpaPE2Lkw-E,,,,,,,,,,,1632287019,,,20210922045901,cur
o8AGGt8ok1Y,,,,,,,,,,,1632287022,,,20210922045901,cur
9ZkYVc9N-8E,,,,,,,,,,,1632287032,,,20210922045901,cur
v71vFT63mTE,,,,,,,,,,,1632287063,,,20210922045901,cur
1YDxuwfzFWY,,,,,,,,,,,1632287078,,,20210922045901,cur
HvP-0ug26gk,,,,,,,,,,,1632287107,,,20210922045901,cur
UvlFzi3WM2s,,,,,,,,,,,1632287123,,,20210922045901,cur
-S8HXB9XAzE,,,,,,,,,,,1632287152,,,20210922045901,cur
0-sEQ2bDbiQ,,,,,,,,,,,1632287168,,,20210922045901,cur
0bwb0qp8RMI,,,,,,,,,,,1632287197,,,20210922045901,cur
2qF4AqCwQyE,,,,,,,,,,,1632287213,,,20210922045901,cur
Fi2SqDyosDE,,,,,,,,,,,1632287229,,,20210922045901,cur
RfE1Ob_Q_Ak,,,,,,,,,,,1632287232,,,20210922045901,cur
lDgbKLGtp6s,,,,,,,,,,,1632287236,,,20210922045901,cur
4CwxYJYSYRg,,,,,,,,,,,1632287253,,,20210922045901,cur
Dwt76ejibcE,,,,,,,,,,,1632287271,,,20210922045901,cur
7Gz7o20p7rI,,,,,,,,,,,1632287287,,,20210922045901,cur
3LzyOY4ovHg,,,,,,,,,,,1632287316,,,20210922045901,cur
ctm8-z7bCXQ,,,,,,,,,,,1632287319,,,20210922045901,cur
GRhzcUEyCw8,,,,,,,,,,,1632287323,,,20210922045901,cur
-Kzrf-vjePI,,,,,,,,,,,1632287339,,,20210922045901,cur
7zEEtkZ3_DA,,,,,,,,,,,1632287342,,,20210922045901,cur
ipxdbdXaM50,,,,,,,,,,,1632287359,,,20210922045901,cur
fSEgDVI43-s,,,,,,,,,,,1632287379,,,20210922045901,cur
kELXLZQB3Ig,,,,,,,,,,,1632287383,,,20210922045901,cur
nCtTfdpyxjU,,,,,,,,,,,1632287386,,,20210922045901,cur
50mGPhuNUWM,,,,,,,,,,,1632287415,,,20210922045901,cur
-eEm-JTqf5o,,,,,,,,,,,1632287458,,,20210922045901,cur
eyOP8PTSMSI,,,,,,,,,,,1632287474,,,20210922045901,cur
05-nCu-uGQY,,,,,,,,,,,1632287478,,,20210922045901,cur
atRAzilSjYU,,,,,,,,,,,1632287495,,,20210922045901,cur
03kFoSDmwGg,,,,,,,,,,,1632287510,,,20210922045901,cur
Q2vOLCMFUuU,,,,,,,,,,,1632287527,,,20210922045901,cur
aNRskqJ7US4,,,,,,,,,,,1632287530,,,20210922045901,cur
684omnPn5LI,,,,,,,,,,,1632287533,,,20210922045901,cur
6ZiqzhyRUag,,,,,,,,,,,1632287583,,,20210922045901,cur
1eF2Kq6rMWM,,,,,,,,,,,1632287599,,,20210922045901,cur
3-Re-tKqu9E,,,,,,,,,,,1632287602,,,20210922045901,cur
DbFLc8ZvMjM,,,,,,,,,,,1632287606,,,20210922045901,cur
JH2BQrM7rDs,,,,,,,,,,,1632287638,,,20210922045901,cur
2bkyovdYv8g,,,,,,,,,,,1632287653,,,20210922045901,cur
EZpSTsjjqYo,,,,,,,,,,,1632287656,,,20210922045901,cur
