videoid,videoname,channelid,channelname,views,comments,likes,dislikes,adtype,advertiser,adfullurl,datecollected,dateuploaded,uploadts,testid,dataset
lZhqPaberPs,,,,,,,,,,,1632405747,,,20210923135902,cur
-_r-kDTJrPY,,,,,,,,,,,1632405778,,,20210923135902,cur
DK3hzYvwem4,,,,,,,,,,,1632405781,,,20210923135902,cur
0ADJdu958bY,,,,,,,,,,,1632405784,,,20210923135902,cur
67nVuBT9nYs,,,,,,,,,,,1632405804,,,20210923135902,cur
58sTho6c9Ak,,,,,,,,,,,1632405807,,,20210923135902,cur
qL9DvuHeqys,,,,,,,,,,,1632405811,,,20210923135902,cur
2f-5topMLe4,,,,,,,,,,,1632405841,,,20210923135902,cur
3g9vBgzSOCg,,,,,,,,,,,1632405989,,,20210923135902,cur
2nK7eiVQ8iw,,,,,,,,,,,1632406005,,,20210923135902,cur
5XVlwKHQlZQ,,,,,,,,,,,1632406040,,,20210923135902,cur
EVdU7qX_rsY,,,,,,,,,,,1632406082,,,20210923135902,cur
17ObS_l0vDI,,,,,,,,,,,1632406094,,,20210923135902,cur
c9fqG8_29cY,,,,,,,,,,,1632406098,,,20210923135902,cur
2CN-uu7ebXY,,,,,,,,,,,1632406102,,,20210923135902,cur
-yEsoTkCjT8,,,,,,,,,,,1632406172,,,20210923135902,cur
3bVWJWWe45g,,,,,,,,,,,1632406201,,,20210923135902,cur
FT2ZWIJ9PmI,,,,,,,,,,,1632406204,,,20210923135902,cur
E8OPO_OJeSo,,,,,,,,,,,1632406208,,,20210923135902,cur
ChKZRfjythA,,,,,,,,,,,1632406231,,,20210923135902,cur
cuD7aBD_e74,,,,,,,,,,,1632406270,,,20210923135902,cur
--FK9b7ilAo,,,,,,,,,,,1632406290,,,20210923135902,cur
08pROg7RtEw,,,,,,,,,,,1632406306,,,20210923135902,cur
22gCo9sVdbk,,,,,,,,,,,1632406309,,,20210923135902,cur
Ciho_nhmL3c,,,,,,,,,,,1632406351,,,20210923135902,cur
0-e2jWFJux0,,,,,,,,,,,1632406354,,,20210923135902,cur
I0OPCnqzM68,,,,,,,,,,,1632406371,,,20210923135902,cur
kj8O_SZAYzw,,,,,,,,,,,1632406387,,,20210923135902,cur
bvRNnNkZp08,,,,,,,,,,,1632406433,,,20210923135902,cur
-VwB0myqmP8,,,,,,,,,,,1632406512,,,20210923135902,cur
0T6xE2Q0czU,,,,,,,,,,,1632406515,,,20210923135902,cur
5QF47xe2zV4,,,,,,,,,,,1632406519,,,20210923135902,cur
6Iop-KKQd3o,,,,,,,,,,,1632406522,,,20210923135902,cur
-ntxVLhvz0Y,,,,,,,,,,,1632406541,,,20210923135902,cur
r7y5dMXmc8c,,,,,,,,,,,1632406560,,,20210923135902,cur
16Jsby86O4Q,,,,,,,,,,,1632406589,,,20210923135902,cur
-GiWFWwyzwM,,,,,,,,,,,1632406592,,,20210923135902,cur
6fqLk7m0qeQ,,,,,,,,,,,1632406596,,,20210923135902,cur
31MZ3yXWYbg,,,,,,,,,,,1632406649,,,20210923135902,cur
y2aus1eMEHI,,,,,,,,,,,1632406652,,,20210923135902,cur
IgNoqIGEwKo,,,,,,,,,,,1632406701,,,20210923135902,cur
2nF1FiqisJw,,,,,,,,,,,1632406717,,,20210923135902,cur
50UtoUxFYZw,,,,,,,,,,,1632406745,,,20210923135902,cur
bDlIBKEzgfY,,,,,,,,,,,1632406749,,,20210923135902,cur
P0I4DOko5ns,,,,,,,,,,,1632406779,,,20210923135902,cur
C3kA-7NSNwc,,,,,,,,,,,1632406782,,,20210923135902,cur
5kLc_i77Ay0,,,,,,,,,,,1632406786,,,20210923135902,cur
4mh38L2eYc8,,,,,,,,,,,1632406789,,,20210923135902,cur
-aVIFKwoby4,,,,,,,,,,,1632406809,,,20210923135902,cur
1dqfFrADeK8,,,,,,,,,,,1632406813,,,20210923135902,cur
0kGyyXWp1IE,,,,,,,,,,,1632406817,,,20210923135902,cur
A_xI52Wp-UY,,,,,,,,,,,1632406820,,,20210923135902,cur
FtgiHmHp0zU,,,,,,,,,,,1632406824,,,20210923135902,cur
DVbrg3J4m8k,,,,,,,,,,,1632406863,,,20210923135902,cur
7dKF-aHQOGs,,,,,,,,,,,1632406905,,,20210923135902,cur
04Tj5rc3be0,,,,,,,,,,,1632406921,,,20210923135902,cur
4sWCAwkQe5s,,,,,,,,,,,1632406925,,,20210923135902,cur
4JPL9ugKEbc,,,,,,,,,,,1632406928,,,20210923135902,cur
47KR886zVOw,,,,,,,,,,,1632406945,,,20210923135902,cur
d9Aa1uDhfp0,,,,,,,,,,,1632406977,,,20210923135902,cur
5uT3BM8JTlw,,,,,,,,,,,1632406994,,,20210923135902,cur
CY5R6MiakKU,,,,,,,,,,,1632406997,,,20210923135902,cur
1XETIlVmiYk,,,,,,,,,,,1632407014,,,20210923135902,cur
9TfOfgTGeC8,,,,,,,,,,,1632407017,,,20210923135902,cur
AXAHnIL-rnc,,,,,,,,,,,1632407021,,,20210923135902,cur
JDVcuzNIyPE,,,,,,,,,,,1632407107,,,20210923135902,cur
2BTk-WFH8IE,,,,,,,,,,,1632407127,,,20210923135902,cur
1OKV0U4cTF4,,,,,,,,,,,1632407130,,,20210923135902,cur
vtPlNEnqCgM,,,,,,,,,,,1632407147,,,20210923135902,cur
HhTG2K1Zh4k,,,,,,,,,,,1632407151,,,20210923135902,cur
UBCCbJ_Dneo,,,,,,,,,,,1632407168,,,20210923135902,cur
62LStwwmiEE,,,,,,,,,,,1632407184,,,20210923135902,cur
6kn9yqs31tc,,,,,,,,,,,1632407201,,,20210923135902,cur
20NPC3EWUCE,,,,,,,,,,,1632407223,,,20210923135902,cur
I0O0N1Jnyns,,,,,,,,,,,1632407266,,,20210923135902,cur
MmxAEemrPv8,,,,,,,,,,,1632407277,,,20210923135902,cur
5JjDAuZyPI8,,,,,,,,,,,1632407280,,,20210923135902,cur
pFelT74fhAw,,,,,,,,,,,1632407284,,,20210923135902,cur
26KVqvS8xqI,,,,,,,,,,,1632407288,,,20210923135902,cur
1HxCECFioNs,,,,,,,,,,,1632407291,,,20210923135902,cur
DCUPWaAn7uU,,,,,,,,,,,1632407333,,,20210923135902,cur
HEn5Joy73d8,,,,,,,,,,,1632407350,,,20210923135902,cur
dS7IURmbo9c,,,,,,,,,,,1632407379,,,20210923135902,cur
Pke9uGbzzz0,,,,,,,,,,,1632407382,,,20210923135902,cur
sd_-XvvMPxY,,,,,,,,,,,1632407452,,,20210923135902,cur
2JOXfPcxgxQ,,,,,,,,,,,1632407455,,,20210923135902,cur
6yxO7c881l4,,,,,,,,,,,1632407459,,,20210923135902,cur
dxj77Qs2l3Q,,,,,,,,,,,1632407463,,,20210923135902,cur
1FOWV1ofMkI,,,,,,,,,,,1632407505,,,20210923135902,cur
CkZkKhbD0pI,,,,,,,,,,,1632407508,,,20210923135902,cur
H1Tnyr7-kjo,,,,,,,,,,,1632407563,,,20210923135902,cur
6ysIe51IRXY,,,,,,,,,,,1632407579,,,20210923135902,cur
1uV5DQFr6mM,,,,,,,,,,,1632407601,,,20210923135902,cur
ipQLHEXIYQU,,,,,,,,,,,1632407619,,,20210923135902,cur
b5lUiArfNAs,,,,,,,,,,,1632407685,,,20210923135902,cur
gGDUBxl3utQ,,,,,,,,,,,1632407701,,,20210923135902,cur
L3uUf07COtE,,,,,,,,,,,1632407704,,,20210923135902,cur
9v9Em-FXZ6w,,,,,,,,,,,1632407708,,,20210923135902,cur
Mp_FrdVwRek,,,,,,,,,,,1632407712,,,20210923135902,cur
SWhc9lrVnOM,,,,,,,,,,,1632407728,,,20210923135902,cur
